AI.PA,AIR.PA,BNP.PA,DG.PA,EN.PA,KER.PA,MC.PA,OR.PA,SAN.PA,VIE.PA
54.41896438598633,36.5436897277832,26.90923500061035,32.95281982421875,18.29084587097168,113.97720336914062,110.03047180175781,115.97783660888672,51.31562042236328,9.646016120910645
52.73379898071289,36.6536979675293,25.602699279785156,31.832029342651367,17.614646911621094,111.37615203857422,106.8350830078125,113.23454284667969,49.83955001831055,9.406261444091797
52.293731689453125,37.502933502197266,24.933094024658203,31.48381233215332,17.480627059936523,110.32850646972656,105.61578369140625,113.23454284667969,50.00279998779297,9.27488899230957
52.52986145019531,38.47977828979492,24.51664161682129,32.64451217651367,17.684707641601562,112.17092895507812,105.69986724853516,113.86760711669922,50.53337478637695,9.347143173217773
54.74097442626953,39.791038513183594,25.311452865600586,33.78706741333008,18.214698791503906,115.6390151977539,109.02137756347656,118.0036392211914,52.662452697753906,9.521211624145508
53.51198196411133,39.205806732177734,24.462202072143555,33.779815673828125,18.03498649597168,114.8442153930664,107.38163757324219,116.31548309326172,50.9347038269043,9.655866622924805
54.445796966552734,39.557830810546875,24.658178329467773,34.556026458740234,18.628944396972656,117.15629577636719,110.9554443359375,118.93212890625,51.648921966552734,9.593467712402344
54.982479095458984,40.09905242919922,25.229793548583984,35.01668167114258,18.76296615600586,119.79348754882812,111.79631805419922,120.40929412841797,52.261131286621094,9.990867614746094
54.25796127319336,39.72503662109375,24.462202072143555,34.43271255493164,18.412683486938477,117.4091567993164,111.58609771728516,119.52301788330078,51.51288604736328,9.997435569763184
55.438655853271484,40.719486236572266,25.088253021240234,34.965904235839844,18.799516677856445,120.47987365722656,113.56219482421875,123.32142639160156,52.94814682006836,10.141945838928223
55.89482498168945,40.82948684692383,25.036535263061523,34.67210006713867,18.76601219177246,120.01023864746094,112.84744262695312,123.78565216064453,54.36980056762695,10.250328063964844
56.297332763671875,41.053897857666016,25.376771926879883,35.16176986694336,18.79647445678711,120.69660186767578,112.84744262695312,123.87005615234375,54.226959228515625,10.371848106384277
56.88766860961914,41.432315826416016,25.989215850830078,34.95139694213867,18.76296615600586,120.80500030517578,114.78144836425781,125.51603698730469,54.669097900390625,10.407974243164062
57.0218391418457,41.2035026550293,26.277748107910156,35.41929244995117,18.82388687133789,124.81502532958984,115.53829956054688,126.44453430175781,54.83234405517578,10.417827606201172
58.014686584472656,41.65232849121094,26.892902374267578,35.350379943847656,19.414798736572266,125.55440521240234,115.91669464111328,126.82437133789062,55.21327209472656,10.674002647399902
58.95387649536133,43.368408203125,26.675146102905273,35.75661849975586,19.70416259765625,129.6022186279297,119.2802505493164,131.3824462890625,56.85260009765625,10.677288055419922
60.02722930908203,44.125240325927734,26.854799270629883,35.927101135253906,20.11231803894043,130.3679962158203,121.634765625,133.9147186279297,56.42405319213867,10.70356273651123
59.571048736572266,43.183597564697266,26.590768814086914,34.6575927734375,19.716346740722656,129.6387176513672,122.01313781738281,131.93109130859375,55.69622039794922,10.6017484664917
59.329551696777344,43.08238983154297,25.858566284179688,34.0881233215332,19.536636352539062,130.80560302734375,122.09724426269531,132.52197265625,55.77104568481445,10.64772891998291
60.24190139770508,42.48396301269531,25.940221786499023,34.34564971923828,19.466577529907227,131.27967834472656,121.67676544189453,135.2230682373047,55.9547004699707,10.808661460876465
60.10773468017578,41.53792190551758,25.463884353637695,33.97930908203125,19.283823013305664,130.84207153320312,120.66768646240234,134.25238037109375,55.7778434753418,10.677288055419922
60.69808578491211,41.24750900268555,25.69252586364746,34.31664276123047,19.50922203063965,129.93040466308594,120.49954986572266,133.1128387451172,55.825462341308594,10.565622329711914
60.69808578491211,41.57752227783203,26.351240158081055,34.965904235839844,19.914329528808594,129.67514038085938,121.50861358642578,131.46685791015625,55.444549560546875,10.788956642150879
61.12741470336914,41.920738220214844,26.568992614746094,35.056583404541016,19.886917114257812,132.5924835205078,131.38902282714844,133.32388305664062,55.498966217041016,10.825081825256348
61.15424728393555,42.60276794433594,25.589094161987305,35.99601745605469,19.493993759155273,132.00901794433594,129.07662963867188,133.36607360839844,57.498809814453125,10.828367233276367
60.215065002441406,42.54556655883789,25.678913116455078,35.84005355834961,19.47571563720703,133.3582763671875,128.4879608154297,133.02845764160156,57.818504333496094,10.693709373474121
60.24190139770508,42.44876480102539,24.878660202026367,36.61988830566406,19.518360137939453,131.64431762695312,126.6380386352539,131.63568115234375,57.69606018066406,10.536064147949219
60.96642303466797,43.768821716308594,25.134523391723633,37.24375915527344,19.95088005065918,133.75936889648438,131.3049774169922,132.9862060546875,58.002159118652344,10.674002647399902
60.912742614746094,43.491607666015625,25.077363967895508,37.105926513671875,20.118408203125,133.50413513183594,131.64134216308594,133.7036895751953,57.818504333496094,10.70356273651123
62.147098541259766,43.80402755737305,25.72246742248535,37.2945442199707,20.435182571411133,133.2489013671875,133.82760620117188,133.28164672851562,57.76408004760742,10.690425872802734
62.227603912353516,43.78202438354492,26.353958129882812,37.512176513671875,20.502195358276367,133.39474487304688,133.2810516357422,131.72006225585938,58.99528121948242,10.792238235473633
61.69093322753906,44.39805603027344,26.77042007446289,38.25936508178711,21.275863647460938,132.11842346191406,131.97769165039062,130.41175842285156,58.30826187133789,10.746259689331055
61.23476028442383,44.59165954589844,26.958234786987305,38.07801055908203,21.321552276611328,130.22216796875,132.52426147460938,131.17140197753906,58.179019927978516,10.726553916931152
61.66408920288086,45.22529220581055,27.714937210083008,38.07075881958008,21.160120010375977,130.3679962158203,133.49130249023438,131.213623046875,58.98168182373047,10.76596450805664
