1080.SR,1120.SR,1150.SR,1180.SR,1211.SR,2010.SR,2222.SR,2380.SR,7010.SR,8230.SR
16.387672424316406,35.56502914428711,12.953328132629395,29.023944854736328,13.75,72.7755126953125,24.563199996948242,13.896839141845703,31.580551147460938,23.84000015258789
16.149307250976562,34.94991683959961,12.783169746398926,28.322734832763672,13.533332824707031,70.34442901611328,25.679704666137695,13.378510475158691,31.104454040527344,24.200000762939453
15.553393363952637,34.94991683959961,13.612692832946777,28.20078468322754,13.550000190734863,70.65812683105469,26.098400115966797,13.532608032226562,31.421852111816406,24.0
16.059919357299805,35.62095260620117,13.825392723083496,28.475175857543945,13.466666221618652,71.2854995727539,26.517086029052734,13.784768104553223,31.453594207763672,24.1200008392334
16.149307250976562,35.95647048950195,13.825392723083496,28.87150764465332,13.666666030883789,70.8149642944336,26.342636108398438,13.868821144104004,32.1201171875,24.440000534057617
16.328083038330078,36.291988372802734,13.87856674194336,29.969051361083984,13.850000381469727,71.75602722167969,25.60991859436035,14.61129379272461,32.183589935302734,25.68000030517578
16.834609985351562,36.851192474365234,13.79880428314209,30.792217254638672,14.116665840148926,72.38341522216797,24.77254295349121,14.317107200622559,32.374027252197266,25.479999542236328
16.41746711730957,37.07487106323242,13.719042778015137,30.548315048217773,14.066665649414062,72.14813995361328,24.632978439331055,14.387150764465332,32.56446838378906,25.559999465942383
16.715425491333008,37.186710357666016,13.745628356933594,30.67026138305664,14.866665840148926,73.08920288085938,24.842329025268555,14.58327579498291,33.26274108886719,25.559999465942383
17.132566452026367,37.13079071044922,13.745628356933594,30.853185653686523,14.866665840148926,72.9323501586914,24.702760696411133,15.045570373535156,33.135772705078125,25.68000030517578
16.95378875732422,36.45975112915039,13.719042778015137,29.938568115234375,14.649999618530273,72.2265625,24.563199996948242,15.11561393737793,32.437503814697266,25.31999969482422
16.685632705688477,36.45975112915039,13.66586685180664,29.908077239990234,14.833333015441895,73.1676254272461,24.66787338256836,15.297730445861816,32.183589935302734,25.280000686645508
16.4770565032959,36.907108306884766,13.506345748901367,30.06052017211914,14.916666030883789,73.79498291015625,24.702760696411133,15.241695404052734,32.374027252197266,25.31999969482422
16.089712142944336,36.51567077636719,13.229836463928223,30.090999603271484,14.75,73.48131561279297,24.52830696105957,15.101606369018555,31.8027286529541,25.440000534057617
16.328083038330078,36.571590423583984,13.479757308959961,30.030027389526367,14.800000190734863,73.6381607055664,24.59808921813965,15.171649932861328,32.31055450439453,25.399999618530273
16.119508743286133,36.40382385253906,13.453170776367188,29.664182662963867,14.683333396911621,73.01078033447266,24.493419647216797,15.129623413085938,31.9931640625,25.200000762939453
16.089712142944336,36.79526901245117,13.479757308959961,29.755640029907227,14.683333396911621,73.24605560302734,24.52830696105957,15.479846000671387,32.183589935302734,25.520000457763672
15.73216438293457,36.01239013671875,13.219202995300293,28.901996612548828,14.149999618530273,72.14813995361328,24.109621047973633,14.933499336242676,31.199676513671875,25.040000915527344
15.910938262939453,36.06830978393555,13.091583251953125,28.597122192382812,14.533332824707031,72.06973266601562,24.074726104736328,14.709356307983398,31.009241104125977,24.799999237060547
15.73216438293457,36.291988372802734,13.027772903442383,28.353227615356445,14.533332824707031,71.36392974853516,23.970050811767578,14.54124927520752,30.88228416442871,24.520000457763672
15.464003562927246,35.95647048950195,13.059677124023438,28.23127555847168,14.116665840148926,70.97181701660156,23.865379333496094,14.37314224243164,30.945762634277344,24.399999618530273
16.089712142944336,36.79526901245117,13.399995803833008,29.389793395996094,14.533332824707031,72.14813995361328,24.423635482788086,15.087596893310547,31.517072677612305,25.040000915527344
15.85135269165039,36.739349365234375,13.399995803833008,29.084918975830078,14.533332824707031,72.06973266601562,24.28407096862793,15.087596893310547,31.517072677612305,25.559999465942383
16.62603759765625,36.851192474365234,13.559518814086914,29.084918975830078,14.783332824707031,72.69709014892578,24.249181747436523,15.746014595031738,31.421852111816406,25.68000030517578
16.655834197998047,37.13079071044922,13.612692832946777,29.084918975830078,14.933333396911621,73.08920288085938,24.31896209716797,15.703989028930664,31.39011573791504,25.760000228881836
16.655834197998047,36.907108306884766,13.586105346679688,28.841020584106445,14.783332824707031,72.46183776855469,24.214290618896484,15.367774963378906,31.104454040527344,25.520000457763672
