6098.T,6501.T,6758.T,6861.T,7203.T,7974.T,8306.T,8316.T,9432.T,9983.T
1051.688720703125,747.6722412109375,475.9289245605469,12808.677734375,1107.302978515625,973.6223754882812,457.263427734375,1204.7152099609375,43.96587371826172,13395.0927734375
1050.15771484375,724.1104736328125,470.3376770019531,12361.78125,1076.76953125,932.923095703125,442.8733825683594,1176.617431640625,43.85056686401367,13148.8681640625
1117.514404296875,724.0275268554688,492.124267578125,12405.0302734375,1092.552490234375,937.6647338867188,435.25927734375,1157.0465087890625,43.60550308227539,13200.544921875
1105.2681884765625,725.4380493164062,494.53424072265625,12522.759765625,1114.2357177734375,959.00244140625,438.053466796875,1162.9178466796875,44.71546173095703,13498.451171875
1097.6136474609375,733.153564453125,501.08941650390625,12606.8544921875,1122.3480224609375,964.5344848632812,442.03515625,1144.605224609375,45.89027786254883,13606.365234375
1108.329833984375,733.983154296875,485.8582458496094,12842.3154296875,1109.07275390625,969.276123046875,439.8696594238281,1132.583251953125,45.5515251159668,13246.142578125
1112.922119140625,724.7742309570312,469.18096923828125,12498.732421875,1090.929931640625,927.3910522460938,430.9284362792969,1120.421630859375,46.517337799072266,12749.1259765625
1105.2681884765625,730.083984375,482.0021667480469,12765.4306640625,1110.1053466796875,955.0511474609375,432.25567626953125,1124.615234375,46.80564880371094,13054.6328125
1071.5894775390625,730.6646728515625,459.6373291015625,12493.9296875,1108.335205078125,942.8015747070312,429.3916931152344,1128.3897705078125,46.668697357177734,12575.8583984375
1083.836181640625,729.420166015625,471.1089172363281,12758.22265625,1101.1077880859375,958.2120971679688,425.2702331542969,1116.6470947265625,47.56963348388672,12624.4921875
1071.5894775390625,741.3670043945312,474.7721862792969,12933.62109375,1129.72314453125,962.9537353515625,436.5865478515625,1143.487060546875,47.8002815246582,12980.1591796875
1060.87353515625,738.2142944335938,500.8002624511719,13087.3896484375,1119.250244140625,961.3731689453125,433.512939453125,1128.249755859375,46.906551361083984,12884.400390625
1045.5650634765625,733.2365112304688,503.3067321777344,12866.3447265625,1118.80810546875,953.0751953125,429.3916931152344,1131.7445068359375,48.4633674621582,12849.44140625
1044.034423828125,751.239501953125,527.696044921875,13118.6240234375,1133.558349609375,949.9140014648438,434.63067626953125,1142.089111328125,48.34083938598633,12963.4375
1040.9727783203125,761.3613891601562,531.0701293945312,13272.3935546875,1139.458251953125,955.8414306640625,434.97998046875,1132.0240478515625,48.45616912841797,12870.720703125
1042.5037841796875,763.2694091796875,530.0095825195312,13474.220703125,1154.2086181640625,973.2272338867188,449.02056884765625,1165.9932861328125,49.443599700927734,13119.990234375
1037.9110107421875,757.4620971679688,544.4697265625,13503.0546875,1153.1761474609375,972.041748046875,447.1343994140625,1141.1103515625,50.07786178588867,13253.7431640625
1045.5650634765625,746.0130004882812,535.0223388671875,13402.1416015625,1140.0484619140625,887.877197265625,440.6381530761719,1118.8836669921875,49.9337043762207,13276.5439453125
1053.2193603515625,744.4366455078125,534.8296508789062,13332.46484375,1127.658203125,903.2875366210938,441.6859130859375,1115.6685791015625,50.5967903137207,13381.416015625
1040.9727783203125,727.5949096679688,520.2731323242188,13450.1953125,1129.87060546875,904.4732055664062,436.5865478515625,1103.6468505859375,50.14271545410156,13088.072265625
1040.9727783203125,717.5562744140625,520.080322265625,13798.5830078125,1113.6455078125,887.087158203125,434.490966796875,1093.861328125,49.96974563598633,12823.60546875
1050.15771484375,718.9666137695312,533.8656616210938,13731.306640625,1139.9010009765625,896.1751098632812,456.9140625,1123.4970703125,50.61121368408203,13329.7421875
1054.75,647.9495239257812,597.9718017578125,13911.509765625,1128.9857177734375,892.2237548828125,458.87005615234375,1130.626220703125,51.022037506103516,13215.744140625
1053.2193603515625,653.1761474609375,605.1056518554688,13757.7392578125,1124.4129638671875,930.1572265625,469.278076171875,1154.530517578125,49.54450607299805,13376.8583984375
1071.5894775390625,662.6340942382812,590.741943359375,13743.3203125,1135.770751953125,927.786376953125,474.93646240234375,1167.810546875,51.980648040771484,13355.5771484375
1089.9595947265625,657.0755615234375,592.5734252929688,13567.9248046875,1137.688232421875,932.1329345703125,477.3113708496094,1168.509521484375,52.71581268310547,13203.587890625
1099.1446533203125,655.58203125,623.0360717773438,13861.0537109375,1158.043701171875,936.4793701171875,490.37408447265625,1186.123291015625,52.730228424072266,13468.0517578125
1093.0213623046875,648.862060546875,620.9152221679688,13889.8857421875,1151.7012939453125,927.786376953125,493.9366149902344,1200.3817138671875,52.77347183227539,13376.8583984375
1129.761474609375,642.05908203125,606.1658935546875,14384.8388671875,1154.798828125,922.2545776367188,509.23455810546875,1241.3402099609375,52.787872314453125,13395.0927734375
1115.98388671875,647.2858276367188,602.5027465820312,14423.279296875,1150.816162109375,928.5765991210938,503.2272033691406,1238.9639892578125,51.95180892944336,13224.8662109375
1100.675537109375,679.9734497070312,612.0462646484375,14894.205078125,1173.973876953125,940.8259887695312,519.2236328125,1276.707275390625,51.98784637451172,13285.66015625
1083.836181640625,675.24462890625,622.16845703125,14639.5205078125,1179.7265625,952.68017578125,538.0143432617188,1310.39697265625,52.384254455566406,13091.1083984375
1102.206298828125,690.0951538085938,617.1555786132812,14488.1513671875,1191.52685546875,955.8414306640625,534.7311401367188,1306.343017578125,52.39867401123047,13043.9912109375
1117.514404296875,692.501220703125,618.0232543945312,14420.8759765625,1199.197021484375,962.1635131835938,525.7900390625,1286.7723388671875,52.87438201904297,13483.2509765625
