AZN.L,BATS.L,BHP.L,BP.L,DGE.L,GSK.L,HSBA.L,RIO.L,SHEL.L,ULVR.L
4564.4638671875,3429.8818359375,1369.220458984375,408.0498352050781,1824.0672607421875,1384.9346923828125,608.782470703125,2952.193115234375,2156.558837890625,2597.16015625
4567.951171875,3390.639892578125,1308.1121826171875,387.4211730957031,1816.089111328125,1371.4158935546875,600.7247924804688,2866.21142578125,2069.022705078125,2564.272216796875
4473.27294921875,3398.587158203125,1316.06103515625,388.7632751464844,1777.19384765625,1358.8984375,590.5784912109375,2926.845703125,2068.525634765625,2565.268310546875
4464.3046875,3387.659912109375,1332.9532470703125,391.447509765625,1804.6197509765625,1380.9293212890625,597.8399047851562,2944.738037109375,2086.927734375,2582.21142578125
4556.9892578125,3489.487548828125,1378.659912109375,402.631591796875,1844.51220703125,1429.4971923828125,603.0126342773438,3009.348388671875,2131.193115234375,2658.949951171875
4571.4384765625,3449.254150390625,1367.2333984375,396.31878662109375,1818.5823974609375,1411.4720458984375,598.8346557617188,2967.103515625,2095.382080078125,2617.092041015625
4656.650390625,3498.926025390625,1342.3927001953125,394.2310791015625,1838.5279541015625,1414.4764404296875,599.5310668945312,2906.96630859375,2067.531005859375,2668.915771484375
4700.99951171875,3561.016845703125,1348.354248046875,393.9825744628906,1860.4688720703125,1424.9906005859375,601.0233764648438,2902.4931640625,2066.038330078125,2693.83056640625
4664.12353515625,3491.474853515625,1276.812744140625,379.915283203125,1823.5687255859375,1397.452392578125,586.9972534179688,2787.68505859375,1997.4027099609375,2669.912109375
4712.95849609375,3565.98291015625,1339.411865234375,390.30419921875,1880.4150390625,1414.9761962890625,593.7615966796875,2825.457763671875,2055.096923828125,2722.733154296875
4699.00537109375,3560.519775390625,1379.1566162109375,410.932861328125,1886.3988037109375,1433.002197265625,590.8770141601562,2871.181640625,2091.40380859375,2737.68212890625
4708.9716796875,3574.427734375,1359.283935546875,406.5088806152344,1895.37451171875,1441.0130615234375,593.164794921875,2838.876953125,2109.806396484375,2719.7431640625
4692.0302734375,3587.83935546875,1383.6279296875,409.7896728515625,1892.38232421875,1444.017333984375,592.5679321289062,2868.199462890625,2105.827392578125,2703.797607421875
4695.51708984375,3666.3212890625,1417.908203125,423.5088806152344,1927.7869873046875,1467.55029296875,602.416015625,2906.96630859375,2152.081787109375,2768.576904296875
4673.59130859375,3710.03369140625,1442.7489013671875,425.8948669433594,1932.77294921875,1490.5826416015625,617.03857421875,2948.714111328125,2165.013671875,2775.55322265625
4717.44287109375,3766.16357421875,1415.9210205078125,429.87158203125,1964.1884765625,1502.0985107421875,621.5147705078125,2865.71484375,2173.46826171875,2844.318603515625
4684.0576171875,3754.738525390625,1422.3797607421875,436.4328918457031,1961.695068359375,1500.5963134765625,623.8026123046875,2870.187744140625,2199.828857421875,2882.190673828125
4708.9716796875,3731.392333984375,1408.46875,438.0235595703125,1936.7626953125,1486.075927734375,614.75048828125,2855.2783203125,2179.43701171875,2876.2109375
