BRK-B,DIS,HD,JNJ,JPM,MA,PG,UNH,V,WMT
149.1699981689453,86.31002807617188,81.3775405883789,78.68140411376953,47.174259185791016,80.31997680664062,67.86195373535156,86.19259643554688,61.672882080078125,23.377300262451172
147.0,85.04872131347656,79.67020416259766,78.13186645507812,45.7097282409668,78.06072235107422,67.5393295288086,84.77288055419922,60.31153869628906,23.309253692626953
146.83999633789062,84.59761810302734,79.4262924194336,77.74797058105469,44.52452850341797,77.89199829101562,67.23165130615234,84.60179901123047,59.92290115356445,23.488872528076172
148.8800048828125,85.46302795410156,82.14857482910156,79.46432495117188,44.592464447021484,79.10363006591797,67.5843276977539,85.46563720703125,60.72576141357422,24.11208724975586
151.3699951171875,86.34683227539062,83.966064453125,80.089111328125,45.588951110839844,80.33404541015625,68.357177734375,89.5451889038086,61.540225982666016,24.621002197265625
149.47000122070312,86.77033996582031,82.52623748779297,78.99758911132812,44.79629898071289,79.31024169921875,67.71937561035156,88.70706939697266,60.62800598144531,24.31618881225586
148.27999877929688,86.96366119384766,82.15643310546875,78.7265853881836,44.41129684448242,78.29586791992188,67.47177124023438,87.7063980102539,60.50933074951172,24.498533248901367
148.6300048828125,87.6357421875,81.61357116699219,78.86207580566406,44.41883087158203,78.47432708740234,67.75691223144531,88.15113830566406,60.68617630004883,24.305309295654297
147.82000732421875,86.7519302368164,80.75597381591797,78.28997039794922,42.886375427246094,78.38977813720703,67.5242919921875,88.3735122680664,59.47144317626953,23.57052230834961
147.5800018310547,86.86238861083984,79.4735107421875,77.15325927734375,41.512447357177734,77.2532730102539,67.42676544189453,89.3399429321289,58.90594482421875,23.78006362915039
149.2100067138672,87.62654113769531,81.92041778564453,78.32006072998047,42.222049713134766,78.70913696289062,68.46976470947266,90.46031951904297,59.3294792175293,23.61406135559082
148.6300048828125,87.2214584350586,81.23589324951172,76.24991607666016,42.05597686767578,79.14117431640625,68.42472076416016,90.33206176757812,59.76930618286133,23.592288970947266
147.17999267578125,86.69668579101562,81.45623779296875,76.7091064453125,42.191864013671875,78.63398742675781,68.56377410888672,93.49645233154297,59.871700286865234,23.57868003845215
150.14999389648438,87.59890747070312,83.45462799072266,78.10929107666016,43.4752082824707,79.25391387939453,69.23633575439453,97.37077331542969,59.9461669921875,24.030437469482422
149.1199951171875,87.20303344726562,82.9039077758789,76.93492889404297,42.788238525390625,79.26329040527344,68.07258605957031,95.78854370117188,60.10674285888672,24.08759307861328
149.6999969482422,87.43318939208984,83.68283081054688,76.98009490966797,42.85618591308594,78.52127075195312,67.69471740722656,95.45500946044922,59.69717788696289,24.12024688720703
147.64999389648438,86.5125732421875,82.73869323730469,76.85212707519531,42.425880432128906,76.80244445800781,65.35964965820312,94.08658599853516,58.40796661376953,23.82088851928711
144.77999877929688,85.31571960449219,82.40821075439453,76.3929214477539,41.33126449584961,75.83502960205078,64.34703826904297,92.76095581054688,57.33050537109375,23.627670288085938
146.2899932861328,85.82206726074219,84.6741714477539,77.07044219970703,42.025779724121094,76.43614959716797,64.73997497558594,93.55635070800781,57.71215057373047,23.872602462768555
143.91000366210938,83.7414321899414,82.15643310546875,75.38419342041016,41.05195236206055,77.04666900634766,63.69710922241211,90.87085723876953,59.320186614990234,23.126920700073242
146.72999572753906,84.63445281982422,82.1643295288086,75.90362548828125,41.87479782104492,77.93895721435547,64.32433319091797,91.76033782958984,59.42024612426758,23.325578689575195
148.2899932861328,86.6322250366211,84.37519836425781,77.13066864013672,42.818443298339844,78.718505859375,64.95155334472656,92.20502471923828,60.4558219909668,23.456222534179688
147.52999877929688,93.24243927001953,85.29571533203125,76.3026123046875,42.561767578125,79.0660629272461,64.83065795898438,92.29913330078125,61.64262008666992,23.581403732299805
149.6699981689453,94.4945068359375,85.7520751953125,77.13066864013672,42.85618591308594,80.60641479492188,65.51834869384766,93.06883239746094,63.25065994262695,23.752857208251953
150.17999267578125,93.9237060546875,85.79141998291016,76.10689544677734,43.70167541503906,79.04728698730469,64.69464111328125,92.02544403076172,62.231380462646484,23.766468048095703
149.1300048828125,93.65673828125,85.24065399169922,75.11321258544922,43.648826599121094,79.45108795166016,64.27144622802734,91.07608795166016,61.77528381347656,23.3800106048584
149.9199981689453,93.8316421508789,87.07386779785156,75.54227447509766,44.131961822509766,79.1130142211914,64.52838134765625,93.19712829589844,61.56351089477539,23.755582809448242
149.67999267578125,93.78561401367188,86.79063415527344,75.56486511230469,44.064029693603516,79.32904815673828,64.71733856201172,93.94976806640625,62.01112365722656,23.497037887573242
149.7899932861328,95.35990142822266,88.2462158203125,74.10447692871094,44.96992874145508,82.20310974121094,65.01203155517578,93.94122314453125,63.15813064575195,23.37457847595215
148.33999633789062,95.90308380126953,88.03376770019531,74.99275207519531,45.045406341552734,81.84622955322266,64.91378784179688,93.59911346435547,62.85973358154297,23.352802276611328
149.1699981689453,95.85706329345703,88.12030029296875,75.61006927490234,45.37002182006836,82.20310974121094,64.60393524169922,93.87278747558594,63.148799896240234,23.39362144470215
148.6699981689453,95.61768341064453,88.1124496459961,75.24869537353516,44.81893539428711,82.40039825439453,65.18582153320312,93.88133239746094,62.740840911865234,23.483427047729492
147.47999572753906,95.64529418945312,87.28631591796875,75.80577087402344,44.7132453918457,83.78108215332031,64.3923568725586,94.10370635986328,62.736167907714844,22.729589462280273
148.72000122070312,96.25293731689453,88.30916595458984,76.00286102294922,45.143550872802734,85.27449035644531,64.13542175292969,96.31884002685547,63.645381927490234,22.941865921020508
