0388.HK,0700.HK,0883.HK,0939.HK,0941.HK,1299.HK,1398.HK,2318.HK,3988.HK
132.47409057617188,99.89907836914062,5.1338019371032715,3.4726881980895996,53.58850860595703,36.84773635864258,2.998256206512451,29.689624786376953,2.2695460319519043
135.76681518554688,100.51901245117188,5.14346981048584,3.483372688293457,52.8263053894043,36.177024841308594,3.0138444900512695,29.385929107666016,2.2746691703796387
135.99652099609375,106.27559661865234,4.979111194610596,3.435289144515991,52.03479766845703,35.21286392211914,2.967078685760498,28.617795944213867,2.2592997550964355
137.29830932617188,110.1723861694336,4.9694414138793945,3.4620025157928467,53.79371643066406,35.25476837158203,2.987863779067993,28.742839813232422,2.279792070388794
136.14967346191406,112.74070739746094,5.056456089019775,3.445974349975586,54.87838363647461,35.79975128173828,2.9722747802734375,29.260887145996094,2.2695460319519043
135.53709411621094,112.65213775634766,5.1338019371032715,3.445974349975586,55.72853469848633,36.009342193603516,2.977470874786377,29.707483291625977,2.2746691703796387
136.7622833251953,112.56358337402344,5.14346981048584,3.4192614555358887,55.611263275146484,36.0512580871582,2.9514894485473633,29.49311637878418,2.249053478240967
137.3748779296875,113.18351745605469,5.056456089019775,3.4246044158935547,57.10635757446289,36.805824279785156,2.967078685760498,29.636028289794922,2.254176378250122
136.22622680664062,111.58939361572266,5.017783164978027,3.413918972015381,56.57866668701172,36.88965606689453,2.9514894485473633,29.7789306640625,2.2592997550964355
136.45594787597656,112.38644409179688,5.056456089019775,3.445974349975586,57.42881774902344,37.728057861328125,2.9826667308807373,30.957944869995117,2.2900383472442627
135.84339904785156,107.95830535888672,5.037120342254639,3.4085769653320312,57.37019729614258,37.43461990356445,2.9514894485473633,31.54745101928711,2.2746691703796387
133.77586364746094,108.9324951171875,5.10479736328125,3.2803542613983154,56.871826171875,37.602291107177734,2.831974983215332,29.010801315307617,2.141467809677124
135.00103759765625,109.90670776367188,5.095128059387207,3.339122772216797,57.54608917236328,37.392696380615234,2.8995273113250732,29.86825180053711,2.197822332382202
